goal,subgoal,subsubgoal_id,subsubgoal_code,subsubgoal,objective_code,objective_id,objective,chapters,abcd_only,n_assessment_items
1. Understand Data,1.1. Understand where data come from,1.1.1,CM,Understand and apply concepts of measurement,CM1,1.1.1.1,Quantify variation in data by assigning numbers or categories to attributes,2,no,0
1. Understand Data,1.1. Understand where data come from,1.1.1,CM,Understand and apply concepts of measurement,CM2,1.1.1.2,Differentiate quantitative and categorical levels of measurement,2,no,12
1. Understand Data,1.1. Understand where data come from,1.1.1,CM,Understand and apply concepts of measurement,CM3,1.1.1.3,Recognize and explain the possibility of measurement error when looking at data collection or data visualizations,2,no,2
1. Understand Data,1.1. Understand where data come from,1.1.1,CM,Understand and apply concepts of measurement,CM4,1.1.1.4,"Identify the limitations of measurement, including measurement bias (and mistakes)",2,no,2
1. Understand Data,1.1. Understand where data come from,1.1.1,CM,Understand and apply concepts of measurement,CM5,1.1.1.5,Define data,2,no,1
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM1,1.1.2.1,Explain that samples are the result of a sampling process and a data generating process (DGP),"2, 3",no,0
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM2,1.1.2.2,"Define independent, random sampling and explain the consequences of violating independent, random sampling",2,no,0
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM3,1.1.2.3,Explain and apply the definition of sampling variation and consider it a possible explanation for observed group differences,"2, 4",no,4
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM4,1.1.2.4,Recognize that samples (and even random samples) are not perfectly representative of the entire population,2,no,10
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM5,1.1.2.5,Recognize that samples are studied in order to find out about the population and the data generating process (DGP),2,no,2
1. Understand Data,1.1. Understand where data come from,1.1.2,SM,Understand sampling methodology,SM6,1.1.2.6,"Recognize the limitations of sampling, including sampling bias",2,no,0
1. Understand Data,1.1. Understand where data come from,1.1.3,RD,Understand elements of research design,RD1,1.1.3.1,Distinguish outcome variables versus explanatory variables,"2, 3, 4",no,10
